team,WP,OWP,OOWP,RPI,win_prob_vs_GT
UMES,0.13636363636363635,0.3436348861808623,0.4154407576625862,0.3097685415969868,0.9978539798732076
N.C. A&T,0.24,0.45043077173715546,0.4433044243405186,0.3960414919537074,0.984563808140149
Maine,0.2391304347826087,0.403681002815766,0.4456842619047691,0.37304417557972747,0.9908518795475187
Penn,0.07894736842105263,0.5266466407859363,0.48169452388848827,0.40348379347035335,0.9817311220439762
Quinnipiac,0.41304347826086957,0.46048728968556335,0.47381670704161,0.45195869116840154,0.946238789373727
Sacred Heart,0.43478260869565216,0.4782745450711964,0.44959990329428795,0.4602329005330832,0.9356811505678163
Lafayette,0.1891891891891892,0.4966288044029244,0.4680028027029842,0.4126124001745055,0.9775536371738013
Claflin,0.0,0.1703844328429046,0.3970328289590089,0.1844504236612045,0.9998799579286003
Norfolk St.,0.4878048780487805,0.3597571596234847,0.4192069565584043,0.40663153846353856,0.9803847736868848
Saint Peter's,0.2708333333333333,0.39410489584765185,0.426389507970987,0.371358158249906,0.9911971558960706
Princeton,0.65,0.502294674469128,0.49454702983074783,0.537284094692251,0.7116174786837491
